"NAA Group","Ce_mean","Ce_sd","Ce_rsd","Co_mean","Co_sd","Co_rsd","Cr_mean","Cr_sd","Cr_rsd","Cs_mean","Cs_sd","Cs_rsd","Eu_mean","Eu_sd","Eu_rsd","Fe_mean","Fe_sd","Fe_rsd","Hf_mean","Hf_sd","Hf_rsd","Ni_mean","Ni_sd","Ni_rsd","Rb_mean","Rb_sd","Rb_rsd","Sb_mean","Sb_sd","Sb_rsd","Sc_mean","Sc_sd","Sc_rsd","Sr_mean","Sr_sd","Sr_rsd","Ta_mean","Ta_sd","Ta_rsd","Tb_mean","Tb_sd","Tb_rsd","Th_mean","Th_sd","Th_rsd","Zn_mean","Zn_sd","Zn_rsd","As_mean","As_sd","As_rsd","La_mean","La_sd","La_rsd","Lu_mean","Lu_sd","Lu_rsd","Nd_mean","Nd_sd","Nd_rsd","Sm_mean","Sm_sd","Sm_rsd","U_mean","U_sd","U_rsd","Yb_mean","Yb_sd","Yb_rsd","Al_mean","Al_sd","Al_rsd","Ba_mean","Ba_sd","Ba_rsd","Ca_mean","Ca_sd","Ca_rsd","Dy_mean","Dy_sd","Dy_rsd","K_mean","K_sd","K_rsd","Mn_mean","Mn_sd","Mn_rsd","Na_mean","Na_sd","Na_rsd","Ti_mean","Ti_sd","Ti_rsd","V_mean","V_sd","V_rsd","Na2O_mean","Na2O_sd","Na2O_rsd","Al2O3_mean","Al2O3_sd","Al2O3_rsd","K2O_mean","K2O_sd","K2O_rsd","CaO_mean","CaO_sd","CaO_rsd","Fe2O3_mean","Fe2O3_sd","Fe2O3_rsd","TiO2_mean","TiO2_sd","TiO2_rsd"
"BUK",63.3396721311475,2.01819883990083,3.18631084120875,15.5268852459016,1.09630522055312,7.06068991424079,93.8845901639344,4.65980384915163,4.96333193872926,6.44967213114754,1.69756783586903,26.3202190956487,1.14934426229508,0.0405737539327669,3.53016543987845,41418.6885245902,2035.28156562332,4.9139208365204,4.17852459016393,0.193320425421749,4.62652357908379,42.3545901639344,30.5330926249848,72.0892175011156,94.6250819672131,18.5009568782222,19.5518529480721,2.36868852459016,0.23728657364627,10.0176351252145,15.0377049180328,0.629103577700373,4.18350792976374,415.424426229508,95.883932170178,23.080956755587,0.939836065573771,0.0532131501065507,5.66196085208371,0.800819672131148,0.127322360984068,15.8990051587066,11.4855737704918,0.432968530766244,3.76967262949115,108.114590163934,21.0696403682147,19.4882488443666,21.0018032786885,2.59304165553167,12.3467571861457,31.6339344262295,0.960500353441762,3.03629747884081,0.391147540983607,0.0204204440578339,5.22064998963902,28.8026229508197,1.44616723518795,5.02095672903565,5.67573770491803,0.200170419196522,3.52677360377444,3.88639344262295,0.868964964362556,22.3591609339503,2.66295081967213,0.19295374456326,7.24586211423223,78252,3720.13219747184,4.75404104364341,573.553278688525,53.0422608153571,9.24800934564309,92222,8968.65922904124,9.72507560998595,4.68327868852459,0.445229234258322,9.50678496561104,26329.8196721311,4009.05385557988,15.2262867938411,835.224590163934,57.9093071268563,6.93338148910224,9132.70327868852,1037.41292662199,11.3593193051922,3813.73606557377,321.593142564114,8.43249603629113,121.130983606557,10.444756053465,8.62269564935619,1.23106170616226,0.139840230046919,11.3593193051922,14.7852576258,0.702897215938949,4.75404104364341,3.17169338999623,0.482931131782127,15.2262867938411,12.9036705801874,1.25489172038674,9.72507560998595,5.92177107396049,0.290991142694383,4.9139208365204,0.636313182096325,0.0536570838586706,8.43249603629113
"BUK A",59.228,1.6310640698636,2.75387328605321,13.424,1.39008273135091,10.3552050905163,83.83,7.54779769204236,9.00369520701701,7.93,0.708978137885788,8.94045571104398,1.084,0.0357770876399966,3.30046933948308,37523,1732.41695327655,4.61694681469112,4.184,0.418126775033601,9.99346976657747,35.938,18.3182960452112,50.9719406901085,79.826,12.7624127812887,15.9877894185963,2.328,0.170205757834452,7.31124389323246,13.898,0.362035909821112,2.60494970370637,634.016,76.2491287163335,12.0263729490003,0.876,0.0371483512420135,4.24067936552665,0.806,0.238075618239248,29.5379178956883,10.588,0.487821688734726,4.60730722265514,111.342,18.1327981845053,16.2856767298103,20.42,2.91139141992278,14.2575485794456,29.588,0.820895852103054,2.77442156314402,0.362,0.0286356421265527,7.91039837750075,26.182,2.08525058446221,7.96444345146365,5.224,0.109224539367305,2.0908219633864,3.978,0.931300166434002,23.411266124535,2.444,0.203543607121423,8.32829816372433,75107,2297.74726634589,3.05929842271145,571.096,93.5497398713647,16.3807380670438,85991.2,10536.2931432264,12.2527574254417,4.374,0.627638430945716,14.349301119015,20322.6,3042.24198577299,14.9697478953136,696.176,91.8452164241557,13.1928156707723,13411.2,1905.68719888653,14.2096695216426,3461.74,377.846818168421,10.9149392550689,109.478,19.42075873904,17.7394168134603,1.80779055772128,0.256881063895654,14.2096695216426,14.19102827405,0.434145904154547,3.05929842271145,2.44806295258308,0.366468852320256,14.9697478953136,12.031859183221,1.4742345194908,12.2527574254417,5.3647912071455,0.247689556753133,4.61694681469112,0.577583439733586,0.0630428815942582,10.9149392550689
"NISH",60.4947368421053,5.1528280998788,8.51781224096896,17.8736842105263,1.4234590519276,7.9639935178517,120.1,16.6056215381017,13.8264958685276,6.50157894736842,0.718240621688355,11.0471721946723,1.16152631578947,0.061863082170811,5.32601640874262,41594.7368421053,2452.54373258336,5.89628380603364,5.04052631578947,1.09290374530021,21.6823338839971,78.7368421052632,22.7176928241286,28.8526847365269,166.947368421053,117.945125510039,70.6480890507802,1.05315789473684,0.240371301475653,22.8238617093324,14.9494736842105,0.864101805243203,5.7801486761093,505.157894736842,118.309041242697,23.4202102897607,0.957894736842105,0.0547295316755671,5.7135225375592,0.697368421052632,0.0772328445721233,11.074898466946,10.2784210526316,1.57557137134401,15.3289241925015,105.842105263158,18.0993037247745,17.1002869602544,19.8315789473684,8.11761135033501,40.9327536243007,30.9094736842105,4.39372592287914,14.2148195979266,0.342578947368421,0.0566503072360735,16.5364239896358,28.5105263157895,4.352508183264,15.2663200077563,5.12842105263158,0.718039484815693,14.0011804305195,2.62210526315789,0.67675351616185,25.8095479869031,2.61526315789474,0.490083535068287,18.7393583543921,71678.9473684211,6464.39641827693,9.0185426204025,483.473684210526,54.7259520206036,11.3193238448886,75478.9473684211,9763.45675052121,12.9353377212121,4.62,0.643056935443684,13.9189812866598,22978.9473684211,2885.5153491897,12.5572129259286,797.526315789474,142.402937087786,17.8555784641189,12512.6315789474,2051.09954822411,16.3922316043821,3971.05263157895,303.221494709397,7.63579642078006,126.526315789474,27.6473193819193,21.8510427727315,1.68666616116874,0.276482223531521,16.3922316043821,13.5433177834211,1.22140988651438,9.0185426204025,2.76804689075158,0.347589541961222,12.5572129259286,10.5609884038668,1.36609951673823,12.9353377212121,5.94694130197632,0.350648536942755,5.89628380603364,0.662561093066053,0.0505918162298189,7.63579642078006
"Outlier",64.9458823529412,11.0273382207718,16.9792723129773,17.2082352941176,5.26336897254757,30.5863377771617,214.131764705882,320.015668546778,149.448013463267,6.53235294117647,1.79215836846163,27.4351123492551,1.19358823529412,0.143157718453953,11.9938948978227,40661,7176.22114172912,17.6489047040878,4.91882352941176,1.07362052393374,21.8267745836805,77.5705882352941,56.2806402627258,72.5540975556486,134.371176470588,103.953182002907,77.3627088288985,2.20176470588235,1.1835288087649,53.7536461367976,15.3805882352941,2.69113932793398,17.496985724893,531.58,538.21315222224,101.247818244148,0.932352941176471,0.128380752634726,13.7695444466268,0.822941176470588,0.194189492052298,23.5970076117874,11.5676470588235,2.3321543940415,20.1610092543633,113.472941176471,15.8019052509127,13.9257034206401,16.8205882352941,4.25031979765675,25.268556237162,32.1305882352941,4.66677280166422,14.5243926674768,0.358588235294118,0.0422404705577622,11.7796587841528,28.8664705882353,2.85951031904169,9.90599217975438,5.41176470588235,0.707638990712405,13.0759378718596,3.26176470588235,1.20447205910991,36.9270063207728,2.60411764705882,0.426703334055545,16.3857164647487,74433.8235294118,8975.74199742906,12.0586872631666,561.341764705882,157.018135745337,27.9719318279494,81052.5882352941,25148.4677914451,31.0273469842069,4.66823529411765,0.53019141937273,11.3574270782969,23907.1764705882,5852.83747676388,24.4815086547938,854.19,225.349374638582,26.3816451420155,11366.5058823529,2399.40051796032,21.109394063531,3808.92941176471,415.076209515653,10.8974508226275,123.289411764706,19.1596902606058,15.5404182616845,1.53217176750783,0.323432176133397,21.109394063531,14.0638355180147,1.69591394232354,12.0586872631666,2.87986148516986,0.705033538737932,24.4815086547938,11.3408503205288,3.51876497991001,31.0273469842069,5.8134417630185,1.02600879678277,17.6489047040878,0.635511202848707,0.0692545208027262,10.8974508226275
"PAY 1",60.8333333333333,4.231386691539,6.95570415047507,15.9966666666667,1.71307715335105,10.7089632424529,93.1266666666667,7.79142049521994,8.36647629954178,6.56,0.444409720865779,6.774538427832,1.10333333333333,0.0702376916856849,6.36595392921615,41354,3774.51308118014,9.12732282531349,3.8,0.01,0.263157894736842,8.76333333333333,15.1785385769953,173.205080756888,71.94,15.5266770430765,21.5828149055832,1.41,0.134536240470737,9.54157733835015,14.8,1.57330861562505,10.6304636190882,425.03,169.031339993505,39.7692727556891,0.853333333333333,0.0577350269189626,6.76582346706593,0.676666666666667,0.0404145188432738,5.97258899161682,11.2333333333333,0.967488156688925,8.612654213848,88.5066666666667,2.92219666233013,3.30166841932449,5.66,1.30288142207954,23.019106397165,30.7733333333333,2.15272695280505,6.99542987263341,0.363333333333333,0.0305505046330389,8.40839577056117,27.83,0.786193360440038,2.82498512554811,5.46333333333333,0.392725519075771,7.18838656026426,3.25333333333333,0.340783411176855,10.4748999337148,2.40333333333333,0.150443787951957,6.25979700216186,78489.6666666667,4014.67835988555,5.11491324958132,468.69,45.7093786875298,9.75258245056002,94843.3333333333,4258.06556235732,4.48957814187325,4.16333333333333,0.410528115155751,9.86056321430946,15978,3012.95950852314,18.8569252004202,745.956666666667,97.8915217643148,13.1229501844586,17809.3333333333,4156.1516254022,23.3369298424171,3417.43333333333,367.957339012736,10.7670670682501,127.616666666667,24.6427277981423,19.3099604007906,2.40064607487107,0.5602370902574,23.3369298424171,14.8301633521167,0.758549990231968,5.11491324958132,1.9247118900324,0.362941481427004,18.8569252004202,13.2704466402837,0.595787071691128,4.48957814187325,5.912522335109,0.539655000644162,9.12732282531349,0.570190973246657,0.0613928445065756,10.7670670682501
"PAY 2",63.55,2.02412944250115,3.18509747049748,17.3266666666667,0.378197479279454,2.18274805278639,100.45,1.62785134456436,1.62055882983012,8.09,0.788859936870925,9.75104989951699,1.15333333333333,0.0321455025366432,2.78718230086502,44150.6666666667,704.641989476453,1.59599399663981,3.81,0.105356537528527,2.76526345219232,39.11,38.4954685644947,98.4287102134868,110.263333333333,7.83716998241925,7.10768461781122,1.96333333333333,0.218250620464945,11.1163304141738,16.08,0.370270171631472,2.30267519671313,518.79,110.671293025789,21.332580239748,0.883333333333333,0.0802080627701064,9.08015804944601,0.976666666666667,0.0152752523165195,1.56401900851735,11.82,0.340734500748017,2.88269459177679,103.853333333333,4.14426511378475,3.99049792699777,11.46,3.08056812942029,26.8810482497407,31.8366666666667,0.960017360954129,3.0154455898465,0.373333333333333,0.0115470053837925,3.09294787065871,29.8766666666667,1.19984721249555,4.01600093438206,5.66333333333333,0.202566861389847,3.57681332648346,4.18666666666667,0.668904577150832,15.9770201548766,2.80666666666667,0.100664459136943,3.58661968421413,80302,1855.77692624949,2.31099714359479,569.43,90.7671708273426,15.940005062491,94324.6666666667,3330.54655174392,3.53093911639648,4.55333333333333,0.36226141573915,7.95596081418338,24014.3333333333,1664.8364284017,6.93267810225158,810.043333333333,20.0308270756186,2.47280932406314,12422.3333333333,1721.88685265128,13.8612191964844,3823.16666666667,194.560795982473,5.08899592787321,127.843333333333,1.42864737893341,1.11749853643789,1.67449422161077,0.232105314489934,13.8612191964844,15.1725931333,0.350638193919822,2.31099714359479,2.89276961433647,0.200546405601691,6.93267810225157,13.1978749783419,0.466008930143379,3.53093911639648,6.31237130088067,0.10074506700767,1.59599399663981,0.637886656423683,0.0324620259698479,5.08899592787322
"PAY 3",62.7875,3.21223053344557,5.11603509208929,16.23,1.47302410027806,9.07593407441814,93.85,4.404565812881,4.69319745645284,6.385,1.30329070689032,20.4117573514537,1.13,0.0424264068711928,3.75454928063653,41533.25,2711.91277821885,6.52949812070774,4.1125,0.324794807019242,7.89774606733719,4.485,8.97,200,75.195,14.7053040317658,19.556225855131,2.225,0.171367052453693,7.70188999791877,14.935,0.993059246302388,6.64920821092995,354.64,11.5470717788826,3.25599813300321,0.8725,0.0629152869605896,7.21092114161485,0.805,0.0685565460040105,8.51634111851062,11.3175,0.44048268978474,3.89204939063168,95.3825,9.76098825256268,10.2335210888399,19.1675,1.86140403996553,9.71125102368869,31.3325,1.30241762375463,4.15676254290157,0.365,0.0208166599946613,5.70319451908529,28.2275,2.59745227739286,9.20185024317724,5.63,0.349094065642295,6.2006050735754,3.3725,0.447688507781917,13.274677769664,2.4925,0.092150239645194,3.69710088847318,76777.25,5045.44080499085,6.57153102643146,482.535,34.8801744070563,7.22852734144804,92966.75,3148.82849908766,3.38704805652307,4.08,0.111952370824978,2.74393065747494,19889.5,1672.34854820001,8.4081980351442,762.6725,75.0447379345592,9.83970681184377,15054.5,1871.04560785318,12.4284805729395,3618.175,427.268802004858,11.8089589918912,126.55,5.43985906680189,4.29858480189797,2.02930259419105,0.252211478685192,12.4284805729395,14.5066122405875,0.953306524274311,6.57153102643146,2.3958916720991,0.20145131649762,8.40819803514419,13.0078757445147,0.440583002599523,3.38704805652308,5.93815031858263,0.387731413456653,6.52949812070774,0.603684263421883,0.0712888271079904,11.8089589918912
"SAMK",65.7166666666667,4.05423235643938,6.16926049673758,10.0188888888889,0.922381118683907,9.20642127997689,146.170555555556,12.8520982366681,8.79253567027962,6.71888888888889,0.544813933579366,8.10869092477972,1.27366666666667,0.164948476804122,12.9506786289549,31873.4444444444,2454.0233764221,7.69927260512894,5.88944444444444,0.551462997769113,9.36358264299975,44.5466666666667,19.5397070843239,43.8634549932442,96.0555555555556,7.89275931935104,8.21686915837586,1.90888888888889,0.492017322613375,25.7750634663584,12.3794444444444,0.952269562813722,7.69234489550195,370.077777777778,108.116788898996,29.2146125466408,0.941111111111111,0.0591000038706965,6.27981150928298,0.829444444444444,0.0898018879810849,10.8267513975856,11.0894444444444,0.680038685943002,6.13230617051953,116.065,44.5607997406848,38.3929692333475,14.6066666666667,3.28373711063549,22.4810847373493,32.8133333333333,2.97632224694287,9.07046601059388,0.375055555555556,0.0389123785268182,10.3750972223778,30.7683333333333,3.18489865015587,10.3512225236635,5.77722222222222,0.705105795612641,12.2049277055751,4.80666666666667,1.69757959182721,35.3171898438393,2.74944444444444,0.325458449904714,11.8372440862494,65187.1111111111,5650.30361379852,8.66782331275212,548.152222222222,127.46180962319,23.2529951454829,79075.1111111111,15119.6758481005,19.1206507782902,4.97444444444444,0.562203879935366,11.3018425718523,23137.0555555556,3005.30502459395,12.9891421031417,630.631111111111,151.240200572735,23.9823563899764,10198.3444444444,1352.7497626174,13.2644055119585,3624.52777777778,330.660735685662,9.12286388624098,121.897222222222,25.1291538692214,20.6150340517278,1.37470702033047,0.182346713777995,13.2644055119585,12.3167232998444,1.06759181355109,8.66782331275212,2.78709262286381,0.36201942132996,12.9891421031417,11.064162400181,2.11553985408151,19.1206507782902,4.55705499285761,0.350860086665747,7.69927260512894,0.604744209934547,0.0551699911322521,9.12286388624098
"TASH",69.5129032258065,3.06636613768196,4.41121863047663,13.5325806451613,1.36567191702335,10.0917330761421,78.0541935483871,6.68816754883506,8.56862039665934,6.54161290322581,1.16539577475978,17.8151136730378,1.20709677419355,0.0496113930723644,4.10997644372874,36037.4193548387,2408.65839246932,6.68377046855858,4.98967741935484,0.334230298556427,6.69843499822164,19.4551612903226,22.165354478099,113.930458593137,101.678387096774,12.2414506484524,12.0393831943866,1.92838709677419,0.261229104736226,13.5465076059268,13.0038709677419,0.814496480120714,6.26349247959469,367.860322580645,58.1716890754641,15.813526358965,1.03548387096774,0.0447093360628717,4.3177240434549,0.91258064516129,0.16980317511628,18.606922688599,13.221935483871,0.839652385831338,6.3504498782013,112.829677419355,18.197019258452,16.1278660673814,15.4432258064516,2.21188967039012,14.3227179224827,35.4325806451613,1.40382564858066,3.9619627558016,0.388064516129032,0.0221237963648059,5.70106140738971,30.9435483870968,1.57057430767028,5.07561152335457,5.99903225806452,0.194170970001692,3.23670488253613,3.32870967741935,0.518245385478629,15.5689572146889,2.82774193548387,0.211466461918029,7.47828008151824,71591.4193548387,3671.95851260326,5.12904834922103,660.404838709677,61.2017088471102,9.26730170037644,77821,10381.9850863567,13.3408528370963,4.69935483870968,0.253231586811637,5.38864579294396,25642.5806451613,2623.93200844577,10.2327142683312,808.908064516129,110.602414362417,13.673051266781,10088.835483871,907.591981214902,8.99600338082498,3874.04516129032,291.661797108351,7.52861117941145,89.4503225806452,10.843206316667,12.1220427202944,1.3599455325508,0.122340746085649,8.99600338082498,13.5267798772935,0.693795079999088,5.12904834922103,3.08890849035277,0.316079179828024,10.2327142683313,10.8886876040507,1.45264378914755,13.3408528370963,5.15239267870516,0.34437410028347,6.68377046855858,0.646375617447099,0.048663106996112,7.52861117941144
"TAZ",73.4875,2.28275235917813,3.10631380735245,19.8325,1.562655325613,7.8792654764301,111.8375,6.2777404374504,5.61326964341156,8.43,0.707342444176322,8.39077632474878,1.285,0.0369684550213648,2.87692256975601,46507,2325.03003564829,4.99931200818863,4.5325,0.128937969582276,2.84474284792667,63.9225,11.9631137947721,18.7150280335908,132.6375,6.68941140908526,5.04337868934898,5.165,0.427278207572849,8.27256936249466,16.7175,0.917546547411446,5.48853923978733,412.5325,66.1891891348832,16.0445999127058,1.025,0.0754983443527075,7.36569213197146,0.995,0.182117178395303,18.3032340095782,13.5925,0.59415906961015,4.37122729159574,130.0775,14.480774323219,11.1324205363872,24.6825,2.76969763692718,11.2213010713144,37.555,1.14817246091343,3.05730917564487,0.3925,0.00957427107756339,2.43930473313717,31.8675,1.77009180552874,5.55453614349649,6.3,0.0989949493661164,1.57134840263677,3.495,0.542432791535812,15.520251546089,2.81,0.344383507154451,12.2556408240018,81700.5,3507.35099469671,4.29293700123832,697.8825,45.9653959517374,6.58640902325785,69031,11903.247820098,17.2433367908591,5.06,0.157056253191864,3.10387852157833,32038.25,2344.77651742478,7.31867850904708,1217.725,36.0637745297595,2.96156969182365,9015.325,480.078468412544,5.32513767848129,4116.575,375.51409538569,9.12200300943601,115.905,10.0991534298673,8.71330264429255,1.21523945730349,0.0647131742246398,5.32513767848129,15.436831527075,0.662693452444625,4.29293700123832,3.85933162541185,0.282452074261875,7.31867850904708,9.6587938216577,1.66549834860313,17.2433367908591,6.6492643091095,0.332417469061512,4.99931200818863,0.686841169013643,0.0626536721074699,9.122003009436
